Name,Total,HP,Attack,Defence,Sp_attack,Sp_defence,Speed,Description
Gligar,430,65,75,105,35,65,85,"TORCHIC sticks with its TRAINER, following behind with unsteady steps. This Pokemon breathes fire of over 1,800 degrees F, including fireballs that leave the foe scorched black."
Steelix,510,75,85,200,55,65,30,"COMBUSKEN toughens up its legs and thighs by running through fields and mountains. This Pokemon’s legs possess both speed and power, enabling it to dole out ten kicks in one second."
Mega Steelix,610,75,125,230,55,95,30,"In battle, BLAZIKEN blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this Pokemon’s wrists burn."
Snubbull,300,60,80,50,40,40,30,"The fin on MUDKIP’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this Pokemon can determine what is taking place around it without using its eyes."
Granbull,450,90,120,75,60,60,45,"The surface of MARSHTOMP’s body is enveloped by a thin, sticky film that enables it to live on land. This Pokemon plays in mud on beaches when the ocean tide is low."
Qwilfish,440,65,95,85,55,55,85,SWAMPERT is very strong. It has enough power to easily drag a boulder weighing more than a ton. This Pokemon also has powerful vision that lets it see even in murky water.
Scizor,500,70,130,100,55,80,65,"At first sight, POOCHYENA takes a bite at anything that moves. This Pokemon chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back."
Mega Scizor,600,70,150,140,65,100,75,MIGHTYENA gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This Pokemon will bite savagely with its sharply pointed fangs.
Shuckle,505,20,10,230,10,230,5,ZIGZAGOON restlessly wanders everywhere at all times. This Pokemon does so because it is very curious. It becomes interested in anything that it happens to see.
Heracross,500,80,125,75,40,95,85,"LINOONE always runs full speed and only in straight lines. If facing an obstacle, it makes a right-angle turn to evade it. This Pokemon is very challenged by gently curving roads."
Mega Heracross,600,80,185,115,40,105,75,"Using the spikes on its rear end,   WURMPLE peels the bark off trees and feeds on the sap that oozes out. This Pokemon’s feet are tipped with suction pads that allow it to cling to glass without slipping."
Sneasel,430,55,95,55,35,75,115,"SILCOON tethers itself to a tree branch using silk to keep from falling. There,  this Pokemon hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole."
Teddiursa,330,60,80,50,50,50,40,"BEAUTIFLY’s favorite food is the sweet pollen of flowers. If you want to see this Pokemon, just leave a potted flower by an open window. BEAUTIFLY is sure to come looking for pollen."
Ursaring,500,90,130,75,75,75,55,"CASCOON makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This Pokemon prepares for its evolution inside the cocoon."
Slugma,250,40,40,40,70,40,20,"DUSTOX is instinctively drawn to light. Swarms of this Pokemon are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food."
Magcargo,430,60,50,120,90,80,30,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts."
Swinub,250,50,50,40,30,30,50,It lives at the water’s edge where it is sunny. It sleeps on a bed of water grass by day and becomes active at night.
Piloswine,450,100,100,80,60,60,50,"LUDICOLO begins dancing as soon as it hears cheerful, festive music. This Pokemon is said to appear when it hears the singing of children on hiking outings."
Corsola,410,65,55,95,65,95,35,"SEEDOT attaches itself to a tree branch using the top of its head. It sucks moisture from the tree while hanging off the branch. The more water it drinks, the glossier this Pokemon’s body becomes."
Mega Corsola,410,60,55,100,65,100,30,NUZLEAF live in densely overgrown forests. They occasionally venture out of the forest to startle people. This Pokemon dislikes having its long nose pinched.
Remoraid,300,35,65,35,65,35,65,It lives quietly in the deep forest. It is said to create chilly winter winds with the fans it holds.
Octillery,480,75,105,75,105,75,45,"TAILLOW courageously stands its ground against foes, however strong they may be. This gutsy Pokemon will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry."
Delibird,330,45,55,45,65,45,75,"SWELLOW flies high above our heads, making graceful arcs in the sky. This Pokemon dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by SWELLOW’s clawed feet, preventing escape."
Mantine,485,85,40,70,80,140,70,WINGULL has the habit of carrying prey and valuables in its beak and hiding them in all sorts of locations. This Pokemon rides the winds and flies as if it were skating across the sky.
Skarmory,465,65,80,140,40,70,70,"It is a messenger of the skies, carrying small Pokemon and eggs to safety in its bill."
Houndour,330,45,60,30,80,50,65,"RALTS senses the emotions of people using the horns on its head. This Pokemon rarely appears before people. But when it does, it draws closer if it senses that the person has a positive disposition."
Houndoom,500,75,90,50,110,80,95,It is said that a KIRLIA that is exposed to the positive emotions of its TRAINER grows beautiful. This Pokemon controls psychokinetic powers with its highly developed brain.
Mega Houndoom,600,75,90,90,140,90,115,"GARDEVOIR has the ability to read the future. If it senses impending danger to its TRAINER, this Pokemon is said to unleash its psychokinetic energy at full power."
Kingdra,540,75,95,95,95,95,85,"From the tips of its feet, SURSKIT secretes an oil that enables it to walk on water as if it were skating. This Pokemon feeds on microscopic organisms in ponds and lakes."
Phanpy,330,90,60,60,40,40,40,MASQUERAIN intimidates enemies with the eyelike patterns on its antennas. This Pokemon flaps its four wings to freely fly in any direction - even sideways and backwards - as if it were a helicopter.
Donphan,500,90,120,120,60,60,50,"SHROOMISH live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This Pokemon feeds on compost that is made up of fallen, rotted leaves."
Porygon2,515,85,80,90,105,95,60,"BRELOOM closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This Pokemon’s fighting technique puts boxers to shame."
Stantler,465,73,95,62,85,65,85,"SLAKOTH lolls around for over twenty hours every day. Because it moves so little, it does not need much food. This Pokemon’s sole daily meal consists of just three leaves."
Smeargle,250,55,20,35,20,45,75,VIGOROTH is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This Pokemon’s stress level rises if it can’t be moving constantly.
Tyrogue,210,35,35,35,35,35,35,"SLAKING spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this Pokemon reluctantly moves to another spot."
Hitmontop,455,50,95,95,35,110,70,NINCADA lives underground for many years in complete darkness. This Pokemon absorbs nutrients from the roots of trees. It stays motionless as it waits for evolution.
Smoochum,305,45,30,15,85,65,65,"NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this Pokemon was long believed to be invisible."
Elekid,360,45,63,37,65,55,95,"SHEDINJA’s hard body doesn’t move - not even a twitch. In fact, its body appears to be merely a hollow shell. It is believed that this Pokemon will steal the spirit of anyone peering into its hollow body from its back."
Magby,365,45,75,37,70,55,83,"Normally, WHISMUR’s voice is very quiet - it is barely audible even if one is paying close attention. However, if this Pokemon senses danger, it starts crying at an earsplitting volume."
Miltank,490,95,80,105,40,70,100,LOUDRED’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes. This Pokemon’s round ears serve as loudspeakers.
Blissey,540,255,10,10,75,135,55,"EXPLOUD triggers earthquakes with the tremors it creates by bellowing. If this Pokemon violently inhales from the ports on its body, it’s a sign that it is preparing to let loose a huge bellow."
Raikou,580,90,85,75,115,100,115,"MAKUHITA is tenacious - it will keep getting up and attacking its foe however many times it is knocked down. Every time it gets back up, this Pokemon stores more energy in its body for evolving."
Entei,580,115,115,85,90,75,100,It has the habit of challenging others without hesitation to tests of strength. It’s been known to stand on train tracks and stop trains using forearm thrusts.
Suicune,580,100,75,115,90,115,85,A Pokemon that lives by water. It moves quickly on land by bouncing on its big tail.
Larvitar,300,50,64,50,45,50,41,"NOSEPASS’s magnetic nose is always pointed to the north. If two of these Pokemon meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another."
Pupitar,410,70,84,70,65,70,51,SKITTY has the habit of becoming fascinated by moving objects and chasing them around. This Pokemon is known to chase after its own tail and become dizzy.
Tyranitar,600,100,134,110,95,100,61,"DELCATTY prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this Pokemon eats and sleeps whenever it decides, its daily routines are completely random."
Mega Tyranitar,700,100,164,150,95,120,71,"SABLEYE lead quiet lives deep inside caverns. They are feared, however, because these Pokemon are thought to steal the spirits of people when their eyes burn with a sinister glow in the darkness."
Lugia,680,106,90,130,90,154,110,"MAWHILE’s huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lull its foe into letting down its guard. When the foe least expects it, MAWHILE chomps it with its gaping jaws."
Ho-oh,680,106,130,90,110,154,90,"This Pokemon has a body of steel. To make its body, ARON feeds on iron ore that it digs from mountains. Occasionally, it causes major trouble by eating bridges and rails."
Celebi,600,100,100,100,100,100,100,LAIRON tempers its steel body by drinking highly nutritious mineral springwater until it is bloated. This Pokemon makes its nest close to springs of delicious water.
Treecko,310,40,45,35,65,55,70,AGGRON claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This Pokemon vigilantly patrols its territory at all times.
Grovyle,405,50,65,45,85,65,95,"MEDITITE undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this Pokemon always loses its concentration and focus. As a result, its training never ends."
Sceptile,530,70,85,65,105,85,120,"It is said that through meditation, MEDICHAM heightens energy inside its body and sharpens its sixth sense. This Pokemon hides its presence by merging itself with fields and mountains."
Mega Sceptile,630,70,110,75,145,85,145,ELECTRIKE stores electricity in its long body hair. This Pokemon stimulates its leg muscles with electric charges. These jolts of power give its legs explosive acceleration performance.
Torchic,310,45,60,40,70,50,45,"MANECTRIC is constantly discharging electricity from its mane. The sparks sometimes ignite forest fires. When it enters a battle, this Pokemon creates thunderclouds."
Combusken,405,60,85,60,85,60,55,"PLUSLE always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this Pokemon shorts out its body to create the crackling noises of sparks to show its joy."
Blaziken,530,80,120,70,110,70,80,MINUN is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.
Mega Blaziken,630,80,160,80,130,80,100,"With the arrival of night, VOLBEAT emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This Pokemon is attracted by the sweet aroma of ILLUMISE."
Mudkip,310,50,70,50,50,50,40,"With its sweet aroma, it guides Volbeat to draw signs with light in the night sky."
Marshtomp,405,70,85,70,60,70,50,ROSELIA shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms. The aroma of this Pokemon brings serenity to living things.
Swampert,535,100,110,90,85,90,60,"Virtually all of GULPIN’s body is its stomach. As a result, it can swallow something its own size. This Pokemon’s stomach contains a special fluid that digests anything."
Mega Swampert,635,100,150,110,95,110,70,"When SWALOT spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this Pokemon gulps it down whole with its cavernous mouth."
Poochyena,220,35,55,35,30,30,35,CARVANHA’s strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls. Many boats have been attacked and sunk by this Pokemon.
Mightyena,420,70,90,70,60,60,70,"Nicknamed “the bully of the sea,” SHARPEDO is widely feared. Its cruel fangs grow back immediately if they snap off. Just one of these Pokemon can thoroughly tear apart a supertanker."
Zigzagoon,240,38,30,41,30,41,60,WAILMER’s nostrils are located above its eyes. This playful Pokemon loves to startle people by forcefully snorting out seawater it stores inside its body out of its nostrils.
Mega Zigzagoon,240,38,30,41,30,41,60,"WAILORD is the largest of all identified Pokemon up to now. This giant Pokemon swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth."
Linoone,420,78,70,61,50,61,100,"NUMEL is extremely dull witted - it doesn’t notice being hit. However, it can’t stand hunger for even a second. This Pokemon’s body is a seething cauldron of boiling magma."
Mega Linoone,420,78,70,61,50,61,100,"CAMERUPT has a volcano inside its body. Magma of 18,000 degrees F courses through its body. Occasionally, the humps on this Pokemon’s back erupt, spewing the superheated magma."
Wurmple,195,45,45,35,20,30,20,You can tell how it’s feeling by the smoke spouting from its shell. Tremendous velocity is a sign of good health.
Silcoon,205,50,35,55,25,25,15,"SPOINK bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this Pokemon cannot afford to stop bouncing - if it stops, its heart will stop."
Beautifly,395,60,70,50,100,50,65,"GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this Pokemon uses its special power, its snorting breath grows labored."
Cascoon,205,50,35,55,25,25,15,No two Spinda have the same pattern of spots. Its tottering step fouls the aim of foes.
Dustox,385,60,50,70,50,90,65,"TRAPINCH’s nest is a sloped, bowl-like pit dug in sand. This Pokemon patiently waits for prey to tumble down the pit. Its giant jaws have enough strength to crush even boulders."
Lotad,220,40,30,30,40,50,30,"To make prey faint, VIBRAVA generates ultrasonic waves by vigorously making its two wings vibrate. This Pokemon’s ultrasonic waves are so powerful, they can bring on headaches in people."
Lombre,340,60,50,50,60,70,50,"FLYGON is nicknamed “the elemental  spirit of the desert.” Because its flapping wings whip up a cloud of sand, this Pokemon is always enveloped in a sandstorm while flying."
Ludicolo,480,80,70,70,90,100,70,"CACNEA lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this Pokemon shoots sharp thorns from its body to bring the victim down."
Seedot,220,40,40,50,30,30,30,"During the daytime, CACTURNE remains unmoving so that it does not lose any moisture to the harsh desert sun. This Pokemon becomes active at night when the temperature drops."
Nuzleaf,340,70,70,40,60,40,60,SWABLU has light and fluffy wings that are like cottony clouds. This Pokemon is not frightened of people. It lands on the heads of people and sits there like a cotton-fluff hat.
Shiftry,480,90,100,60,90,60,80,"ALTARIA dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clear voice, this Pokemon makes its listeners experience dreamy wonderment."
Taillow,270,40,55,30,30,30,85,Memories of battling its arch-rival SEVIPER are etched into every cell of ZANGOOSE’s body. This Pokemon adroitly dodges attacks with incredible agility.
Swellow,455,60,85,60,75,50,125,SEVIPER shares a generations-long feud with ZANGOOSE. The scars on its body are evidence of vicious battles. This Pokemon attacks using its sword- edged tail.
Wingull,270,40,30,30,55,30,85,"LUNATONE was discovered at a location where a meteorite fell. As a result, some people theorize that this Pokemon came from space. However, no one has been able to prove this theory so far."
Pelipper,440,60,50,100,95,70,65,"Solar energy is the source of its power, so it is strong during the daytime. When it spins, its body shines."
Ralts,198,28,25,25,45,35,40,"BARBOACH’s sensitive whiskers serve as a superb radar system. This Pokemon hides in mud, leaving only its two whiskers exposed while it waits for prey to come along."
Kirlia,278,38,35,35,65,55,50,"WHISCASH is extremely territorial. Just one of these Pokemon will claim a large pond as its exclusive territory. If a foe approaches it, it thrashes about and triggers a massive earthquake."
Gardevoir,518,68,65,65,125,115,80,Its hardy vitality enables it to adapt to any environment. Its pincers will never release prey.
Mega Gardevoir,618,68,85,65,165,135,100,"CRAWDAUNT has an extremely violent nature that compels it to challenge other living things to battle. Other life-forms refuse to live in ponds inhabited by this Pokemon, making them desolate places."
Surskit,269,40,30,32,50,52,65,BALTOY moves while spinning around on its one foot. Primitive wall paintings depicting this Pokemon living among people were discovered in some ancient ruins.
Masquerain,454,70,60,62,100,82,80,CLAYDOL are said to be dolls of mud made by primitive humans and brought to life by exposure to a mysterious ray. This Pokemon moves about while levitating.
Shroomish,295,60,40,60,40,60,35,LILEEP became extinct approximately a hundred million years ago. This ancient Pokemon attaches itself to a rock on the seafloor and catches approaching prey using tentacles  shaped like flower petals.
Breloom,460,60,130,80,60,60,70,CRADILY roams around the ocean floor in search of food. This Pokemon freely extends its tree trunk-like neck and captures unwary prey using its eight tentacles.
Slakoth,280,60,60,60,35,35,30,ANORITH was regenerated from a prehistoric fossil. This primitive Pokemon once lived in warm seas. It grips its prey firmly between its two large claws.
Vigoroth,440,80,80,80,55,55,90,ARMALDO’s tough armor makes all attacks bounce off. This Pokemon’s two enormous claws can be freely extended or contracted. They have the power to punch right through a steel slab.
Slaking,670,150,160,100,95,65,100,"FEEBAS’s fins are ragged and tattered from the start of its life. Because of its shoddy appearance, this Pokemon is largely ignored. It is capable of living in both the sea and in rivers."
Nincada,266,31,45,90,30,30,40,Its lovely scales are described as rainbow colored. They change color depending on the viewing angle.
Ninjask,456,61,90,45,50,50,160,CASTFORM’s appearance changes with the weather. This Pokemon gained the ability to use the vast power of nature to protect its tiny body.
Shedinja,236,1,90,45,30,30,40,It changes body color to blend in with its surroundings. It also changes color if it is happy or sad.
Whismur,240,64,51,23,51,23,28,"SHUPPET is attracted by feelings of jealousy and vindictiveness. If someone develops strong feelings of vengeance, this Pokemon will appear in a swarm and line up beneath the eaves of that person’s home."
Loudred,360,84,71,43,71,43,48,BANETTE generates energy for laying strong curses by sticking pins into its own body. This Pokemon was originally a pitiful plush doll that was thrown away.
Exploud,490,104,91,63,91,73,68,"DUSKULL can pass through any wall no matter how thick it may be. Once this Pokemon chooses a target, it will doggedly pursue the intended victim until the break of dawn."
Makuhita,237,72,60,30,20,30,25,"DUSCLOPS’s body is completely hollow - there is nothing at all inside. It is said that its body is like a black hole. This Pokemon will absorb anything into its body, but nothing will ever come back out."
Hariyama,474,144,120,60,40,60,50,"The bunches of fruit around TROPIUS’s neck are very popular with children. This Pokemon loves fruit, and eats it continuously. Apparently, its love for fruit resulted in its own outgrowth of fruit."
Azurill,190,50,20,40,20,40,20,"CHIMECHO makes its cries echo inside its hollow body. When this Pokemon becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying."
Nosepass,375,30,45,135,45,90,30,"Every time ABSOL appears before people, it is followed by a disaster such as an earthquake or a tidal wave. As a result, it came to be known as the disaster Pokemon."
Skitty,260,50,45,45,35,35,50,"WYNAUT can always be seen with a big, happy smile on its face. Look at its tail to determine if it is angry. When angered, this Pokemon will be slapping the ground with its tail."
Delcatty,400,70,65,65,55,55,90,"SNORUNT live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this Pokemon steals away to live quietly among stalactites and stalagmites deep in caverns."
Sableye,380,50,75,75,65,65,50,"GLALIE has a body made of rock, which it hardens with an armor of ice. This Pokemon has the ability to freeze moisture in the atmosphere into any shape it desires."
Mega Sableye,480,50,85,125,85,115,20,"SPHEAL is much faster rolling than  walking to get around. When groups of this Pokemon eat, they all clap at once to show their pleasure. Because of this, their mealtimes are noisy."
Mawile,380,50,85,85,55,55,50,SEALEO has the habit of always juggling on the tip of its nose anything it sees for the first time. This Pokemon occasionally entertains itself by balancing and rolling a SPHEAL on its nose.
Mega Mawile,480,50,105,125,55,95,50,It swims through icy seas while shattering ice floes with its large tusks. It is protected by its thick blubber.
Aron,330,50,70,100,40,40,30,CLAMPERL’s sturdy shell is not only good for protection - it is also used for clamping and catching prey. A fully grown CLAMPERL’s shell will be scored with nicks and scratches all over.
Lairon,430,60,90,140,50,50,40,HUNTAIL’s presence went unnoticed by people for a long time because it lives at extreme depths in the sea. This Pokemon’s eyes can see clearly even in the murky dark depths of the ocean.
Aggron,530,70,110,180,60,60,50,"GOREBYSS lives in the southern seas at extreme depths. Its body is built to withstand the enormous pressure of water at incredible depths. Because of this, this Pokemon’s body is unharmed by ordinary attacks."
Mega Aggron,630,70,140,230,60,80,50,RELICANTH is a Pokemon species that existed for a hundred million years without ever changing its form. This ancient Pokemon feeds on microscopic organisms with its toothless mouth.
Meditite,280,30,40,55,40,55,60,LUVDISC live in shallow seas in the tropics. This heart-shaped Pokemon earned its name by swimming after loving couples it spotted in the ocean’s waves.
Medicham,410,60,60,75,60,75,80,"Dreaming of one day flying, it practices by leaping off cliffs every day."
Mega Medicham,510,60,100,85,80,85,100,"Inside SHELGON’s armor-like shell, cells are in the midst of transformation to create an entirely new body. This Pokemon’s shell is extremely heavy, making its movements sluggish."
Electrike,295,40,45,40,65,40,65,"SALAMENCE came about as a result of a strong, long-held dream of growing wings. It is said that this powerful desire triggered a sudden mutation in this Pokemon’s cells, causing it to sprout its magnificent wings."
Manectric,475,70,75,60,105,60,105,"Instead of blood, a powerful magnetic force courses throughout BELDUM’s body. This Pokemon communicates with others by sending controlled pulses of magnetism."
Mega Manectric,575,70,75,80,135,80,135,"When two BELDUM fuse together, METANG is formed. The brains of the BELDUM are joined by a magnetic nervous system. By linking its brains magnetically, this Pokemon generates strong psychokinetic power."
Plusle,405,60,50,40,85,75,95,"METAGROSS has four brains in total. Combined, the four brains can breeze through difficult calculations faster than a supercomputer. This Pokemon can float in the air by tucking in its four legs."
Minun,405,60,40,50,75,85,95,"Its entire body is made of rock. If any part chips off in battle, it attaches rocks to repair itself."
Volbeat,430,65,73,75,47,85,85,"REGICE’s body was made during an ice age. The deep-frozen body can’t be melted, even by fire. This Pokemon controls frigid air of minus 328 degrees F."
Illumise,430,65,47,75,73,85,85,REGISTEEL has a body that is harder than any kind of metal. Its body is apparently hollow. No one has any idea what this Pokemon eats.
Roselia,400,50,60,45,100,80,65,"LATIAS is highly sensitive to the emotions of people. If it senses any hostility, this Pokemon ruffles the feathers all over its body and cries shrilly to intimidate the foe."
Gulpin,302,70,43,53,43,53,40,LATIOS has the ability to make its foe see an image of what it has seen or imagines in its head. This Pokemon is intelligent and understands human speech.
Swalot,467,100,73,83,73,83,55,KYOGRE has the power to create massive rain clouds that cover the entire sky and bring about torrential downpours. This Pokemon saved people who were suffering from droughts.
Carvanha,305,45,90,20,65,20,65,GROUDON has long been described in  mythology as the Pokemon that raised lands and expanded continents. This Pokemon took to sleep after a cataclysmic battle with KYOGRE.
Sharpedo,460,70,120,40,95,40,95,"RAYQUAZA lived for hundreds of millions of years in the earth’s ozone layer,  never descending to the ground. This Pokemon appears to feed on water and particles in the atmosphere."
Mega Sharpedo,560,70,140,70,110,65,105,"A legend states that JIRACHI will make true any wish that is written on notes attached to its head when it awakens. If this Pokemon senses danger, it will fight without awakening."
Wailmer,400,130,70,35,70,35,60,The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in DEOXYS. The crystalline organ on this Pokemon’s chest appears to be its brain.
Wailord,500,170,90,45,90,45,60,"Made from soil, the shell on its back hardens when it drinks water. It lives along lakes."
Numel,305,60,60,40,65,45,35,It knows where pure water wells up. It carries fellow Pokemon there on its back.
Camerupt,460,70,100,70,105,75,40,Small Pokemon occasionally gather on its unmoving back to begin building their nests.
Mega Camerupt,560,70,120,100,145,105,20,It agilely scales sheer cliffs to live atop craggy mountains. Its fire is put out when it sleeps.
Torkoal,470,70,85,140,85,70,20,"To intimidate attackers, it stretches the fire on its tail to make itself appear bigger."
Spoink,330,60,25,35,70,80,60,It uses a special kind of martial arts involving all its limbs. Its fire never goes out.
Grumpig,470,80,45,65,90,110,80,"Because it is very proud, it hates accepting food from people. Its thick down guards it from cold."
Spinda,360,60,60,60,60,60,60,"It lives alone, away from others. Apparently, every one of them believes it is the most important."
Trapinch,290,45,100,45,45,45,10,The three horns that extend from its beak attest to its power. The leader has the biggest horns.
Vibrava,340,50,70,50,50,50,70,"They flock in great numbers. Though small, they flap their wings with great power."
Flygon,520,80,100,80,80,80,100,It flies around forests and fields in search of bug Pokemon. It stays within a huge flock.
Cacnea,335,50,85,40,85,40,35,It has a savage nature. It will courageously challenge foes that are much larger.
Cacturne,475,70,115,60,115,60,55,"With nerves of steel, nothing can perturb it. It is more agile and active than it appears."
Swablu,310,45,40,60,40,75,50,It makes its nest by damming streams with bark and mud. It is known as an industrious worker.
Altaria,490,75,70,90,70,105,80,"It shakes its head back to front, causing its antennae to hit each other and sound like a xylophone."
Mega Altaria,590,75,110,110,110,105,80,It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.
Zangoose,458,73,115,60,60,60,90,All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.
Seviper,458,73,100,60,100,60,65,Its claws loose electricity with enough amperage to cause fainting. They live in small groups.
Lunatone,460,90,55,65,95,85,70,It has eyes that can see through anything. It spots and captures prey hiding behind objects.
Solrock,460,90,95,85,55,65,70,"Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen."
Barboach,288,50,48,43,46,41,60,"It attracts prey with a sweet aroma, then downs it with thorny whips hidden in its arms."
Whiscash,468,110,78,73,76,71,60,It lived in jungles around 100 million years ago. Its skull is as hard as iron.
Corphish,308,43,80,65,50,35,35,Its powerful head butt has enough power to shatter even the most durable things upon impact.
Crawdaunt,468,63,120,85,90,55,55,A Pokemon that lived in jungles around 100 million years ago. Its facial hide is extremely hard.
Baltoy,300,40,40,55,40,70,55,Any frontal attack is repulsed. It is a docile Pokemon that feeds on grass and berries.
Claydol,500,60,70,105,70,120,75,"To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves."
Lileep,355,66,41,77,61,87,23,"When BURMY evolved, its cloak became a part of this Pokemon’s body. The cloak is never shed."
Cradily,495,86,81,97,81,107,43,It loves the honey of flowers and steals honey collected by COMBEE.
Anorith,355,45,95,50,40,50,75,A Pokemon formed by three others. It busily carries sweet floral honey to VESPIQUEN.
Armaldo,495,75,125,100,70,80,45,Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by COMBEE.
Feebas,200,20,15,20,10,55,80,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.
Milotic,540,95,60,79,100,125,81,It has a flotation sac that is like an inflatable collar. It floats on water with its head out.
Castform,420,70,70,70,70,70,70,It floats using its well-developed flotation sac. It assists in the rescues of drowning people.
Mega Castform,420,70,70,70,70,70,70,"The small ball holds the nutrients needed for evolution. Apparently, it is very sweet and tasty."
Mega Castform X,420,70,70,70,70,70,70,It blooms during times of strong sunlight. It tries to make up for everything it endured as a bud.
Mega Castform X,420,70,70,70,70,70,70,"Its colors and shapes differ from region to region. In the Sinnoh region, two types are confirmed."
Kecleon,440,60,90,70,60,120,40,"It has a pliable body without any bones. If any part of its body is torn off, it grows right back."
Shuppet,295,44,75,35,63,33,45,"To eat, it deftly shucks nuts with its two tails. It rarely uses its arms now."
Banette,455,64,115,65,83,63,65,"A Pokemon formed by the spirits of people and Pokemon. It loves damp, humid seasons."
Mega Banette,555,64,165,75,93,83,75,"At dusk, swarms of them are carried aloft on winds. When noticed, they suddenly vanish."
Duskull,295,20,40,90,30,90,25,It slams foes by sharply uncoiling its rolled ears. It stings enough to make a grown-up cry in pain.
Dusclops,455,40,70,130,60,130,25,An extremely cautious Pokemon. It cloaks its body with its fluffy ear fur when it senses danger.
Tropius,460,99,68,83,72,87,51,Its cries sound like incantations. Those hearing it are tormented by headaches and hallucinations.
Chimecho,455,75,50,80,95,90,65,"Becoming active at night, it is known to swarm with numerous MURKROW in tow."
Absol,465,65,130,60,75,60,75,It claws if displeased and purrs when affectionate. Its fickleness is very popular among some.
Mega Absol,565,65,150,60,115,60,115,It is a brazen brute that barges its way into another Pokemon’s nest and claims it as its own.
Wynaut,260,95,23,48,23,48,23,It emits cries by agitating an orb at the back of its throat. It moves with flouncing hops.
Snorunt,300,50,50,50,50,50,50,It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours.
Glalie,480,80,80,80,80,80,80,It sprays a vile-smelling fluid from the tip of its tail to attack. Its range is over 160 feet.
Mega Glalie,580,80,120,80,120,80,100,Implements shaped like it were discovered in ancient tombs. It is unknown if they are related.
Spheal,290,70,40,50,55,50,25,"One caused a news sensation when it was dug up at a construction site after a 2,000-year sleep."
Sealeo,410,90,60,70,75,70,45,It looks as if it is always crying. It is actually adjusting its body’s fluid levels by eliminating excess.
Walrein,530,110,80,90,95,90,65,"It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokemon."
Clamperl,345,35,64,85,74,55,32,It loves round white things. It carries an egg-shaped rock in imitation of CHANSEY.
Huntail,485,55,104,105,94,75,52,"It can learn and speak human words. If they gather, they all learn the same saying."
Gorebyss,485,55,84,105,114,75,52,A Pokemon that was formed by 108 spirits. It is bound to a fissure in an odd keystone.
Relicanth,485,100,90,130,45,65,55,"It nests in small, horizontal holes in cave walls. It pounces to catch prey that stray too close."
Luvdisc,330,43,30,55,40,65,97,There is a long-held belief that medicine made from its scales will heal even incurable illnesses.
Bagon,300,45,75,60,40,30,50,"When it folds up its body and extends its wings, it looks like a jet plane. It flies at sonic speed."
Shelgon,420,65,95,100,60,50,50,"It wolfs down its weight in food once a day, swallowing food whole with almost no chewing."
